hash,project,true_message,generated_message,cleaned_generated_message,aggressive_cleaned_generated_message
13b6945a456598154f76c1af8ee324faf80747f0,PMEAL_OpenPNM,changing xdf to xmf as default file extension, Updated filename parsing in GenericIO and XDMF classes for handling extensionless filenames and introducing xmf support in XDMF., Updated filename parsing in GenericIO and XDMF classes for handling extensionless filenames and introducing xmf support in XDMF., Updated filename parsing in GenericIO and XDMF classes for handling extensionless filenames and introducing xmf support in XDMF.
39d26df3f280f1143429900f2ba6776d17312450,alexprengere_currencyconverter,Allow CERTIFICATE_VERIFY_FAILED on some tests, Add skip test functionality for certificate error in remote data source testing, Add skip test functionality for certificate error in remote data source testing, Add skip test functionality for certificate error in remote data source testing
5696ed64bfe69a61f5c69e17656777e0b03f44ff,vstinner_perf,use pread/pwrite when available, Add support for OS pread/pwrite in TurboBoostMSR class for efficient seek operations, Add support for OS pread/pwrite in TurboBoostMSR class for efficient seek operations, Add support for OS pread/pwrite in TurboBoostMSR class for efficient seek operations
ec6fa24e33dc7f028c67dc26380b32bb3854cb0e,HazyResearch_metal,Turn off verbosity in unit test, Adjusted LSTM test settings to train model silently and increase test score threshold, Adjusted LSTM test settings to train model silently and increase test score threshold, Adjusted LSTM test settings to train model silently and increase test score threshold
3415120182351e23170351aa59736e27fe5b7562,Drawbotics_entman,Test compiled commonjs code in integration tests, Moved 'index' imports to '../../lib' for better modularity in test files, Moved 'index' imports to '../../lib' for better modularity in test files, Moved 'index' imports to '../../lib' for better modularity in test files
8a5db6d00b4395387b54a8670e59935746d6254e,mozilla_treeherder,"Bug <I> - fix platform duplication on guessed platform names

Ensure HTML aggregate ids have no spaces.", Added escape function to prevent invalid characters in platform row id and resultset table id., Added escape function to prevent invalid characters in platform row id and resultset table id., Added escape function to prevent invalid characters in platform row id and resultset table id.
0f7cb131bcab15f72519aaa92ca818067b962fcd,numenta_htmresearch,Imbu highlights for tm model, Set fixed window size for specified Imbu models to 10, Set fixed window size for specified Imbu models to 10, Set fixed window size for specified Imbu models to 10
6285df0da55825ae3bdb8b697537c53461711341,morimekta_providence,Make the binary serializer versioned by default., Simplified BinarySerializer constructor handling: Unified readStrict and initStreamFromReader logic within constructor call., Simplified BinarySerializer constructor handling: Unified readStrict and initStreamFromReader logic within constructor call., Simplified BinarySerializer constructor handling: Unified readStrict and initStreamFromReader logic within constructor call.
add272fb1d446034ed3bb1001939baa3e8cd2bfb,python-cmd2_cmd2,Updated one example so it can be used properly with default_to_shell, Enhanced pirate.py behavior: Removed the default command handling for unknown commands to improve user experience., Enhanced pirate.py behavior: Removed the default command handling for unknown commands to improve user experience., Enhanced pirate.py behavior: Removed the default command handling for unknown commands to improve user experience.
d0737aa5f11b09e0666b66b2659599acc7652d2c,tsuna_gohbase,"Fix cache misses for regionClientCache as well.

Change-Id: Ic5c8d<I>cce2bfee<I>aaffe<I>afade<I>f6"," Renamed 'key' variable in getRegion function for clarity and consistency, also fixed a minor typo in region lookup process"," Renamed 'key' variable in getRegion function for clarity and consistency, also fixed a minor typo in region lookup process"," Renamed 'key' variable in getRegion function for clarity and consistency, also fixed a minor typo in region lookup process"
0cea31cd294f380b3b7cf46dd7a4000316b71ac1,prebid_Prebid.js,"Fix Mantis tests in negative timezone (#<I>)

Fixes #<I>"," Added negative TZ parameter support for mantis adapter tests, allowing compatibility with a broader range of time zones."," Added negative TZ parameter support for mantis adapter tests, allowing compatibility with a broader range of time zones."," Added negative TZ parameter support for mantis adapter tests, allowing compatibility with a broader range of time zones."
d2c451fd55c4f9f33aa48208e791b242fbe41f99,emberjs_ember.js,[FIX MASTER] Fixing failing action test on master, Added a default tagName to ExampleComponent for testing purposes, Added a default tagName to ExampleComponent for testing purposes, Added a default tagName to ExampleComponent for testing purposes
1fb7412ae52d6442813cf98730ba98bd6a936386,gebn_nibble,Change development status from planning to alpha, Updated project development status to Alpha for initial release, Updated project development status to Alpha for initial release, Updated project development status to Alpha for initial release
02cd7e7b1743ba5209dac2f4baed8aa8e9034b2f,dadoonet_fscrawler,"Release process is broken

When releasing we can not close the repository on sonatype because some artifacts are missing
(cherry picked from commit <I>a)"," Updated release script for Sonatype OSS-Release profile, enabling automatic deployment configuration"," Updated release script for Sonatype OSS-Release profile, enabling automatic deployment configuration"," Updated release script for Sonatype OSS-Release profile, enabling automatic deployment configuration"
2b4dac76b6b26bd97570a0076a365a7666ca2f63,strophe_strophejs-plugin-pubsub,discoverNodes function added to pubsub plugin, Added discoverNodes function to retrieve all existing nodes from a pubsub service, Added discoverNodes function to retrieve all existing nodes from a pubsub service, Added discoverNodes function to retrieve all existing nodes from a pubsub service
a18fe813730045822e37fe8d6b9d72d452281436,antocuni_pdb,"Catch AttributeError and print ""No help"" message because some functions in
Python 3 have no doc string"," Add interactive help for 'hidden frames' in Pdb instance

This change provides an explanation of hidden frames within the Pdb class when using the 'help' command. The additional functionality allows users to understand how hidden frames operate in their debugging sessions."," Add interactive help for 'hidden frames' in Pdb instance
This change provides an explanation of hidden frames within the Pdb class when using the 'help' command. The additional functionality allows users to understand how hidden frames operate in their debugging sessions.", Add interactive help for 'hidden frames' in Pdb instance
c4bcdf78902b78f0825725e65963e2a312c78fba,dranjan_python-plyfile,"Remove ""file-like"" unit test

We shouldn't imply that this feature is supported.", Removed unneeded file-like test due to Python 3 unicode changes., Removed unneeded file-like test due to Python 3 unicode changes., Removed unneeded file-like test due to Python 3 unicode changes.
1c8eabee6fd346a367fb30102a8ad6c7ec85f2b0,oat-sa_generis,Added warning because of backward compatibility, * Modified PhpFileDriver::sanitizeReadableFileName to handle ambiguous string return type, * Modified PhpFileDriver::sanitizeReadableFileName to handle ambiguous string return type, * Modified PhpFileDriver::sanitizeReadableFileName to handle ambiguous string return type
992089942acb54288ce4088ba661c03957260396,vpelletier_python-libusb1,Add warnings for upstream bug <I>.," Provide warnings about the unreliable behavior of `getMaxPacketSize` and `getMaxIsoPacketSize` functions,
   directing users to consult endpoint descriptors for accurate results."," Provide warnings about the unreliable behavior of `getMaxPacketSize` and `getMaxIsoPacketSize` functions,
   directing users to consult endpoint descriptors for accurate results."," Provide warnings about the unreliable behavior of `getMaxPacketSize` and `getMaxIsoPacketSize` functions,"
7e4f71585fb16773acabf59ab21361b6d8d1f1a6,nion-software_nionswift,Change hardware source to be observable. Effectively was anyway.," Made `HardwareSource` inherit from `Observable.Observable`, adding event handling functionality to the hardware source class."," Made `HardwareSource` inherit from `Observable.Observable`, adding event handling functionality to the hardware source class."," Made `HardwareSource` inherit from `Observable.Observable`, adding event handling functionality to the hardware source class."
b8a06958dbc30bd08be46c039557bb1fc96dde75,oat-sa_extension-tao-testqti,bind event on component rather than button, Moved menu click event handling to component level for better accessibility and consistency, Moved menu click event handling to component level for better accessibility and consistency, Moved menu click event handling to component level for better accessibility and consistency
d21f8019c4455effe35de12441b6638eaaf51515,duncan3dc_sql-class,"Don't output bulk inserts
They normally output way too much data to be useful, so if output is on, we switch it off, and just output a mock query with the number of rows to insert"," Introduced output notification for bulkInsert() operation in MySQL mode, improving user feedback during data insertion."," Introduced output notification for bulkInsert() operation in MySQL mode, improving user feedback during data insertion."," Introduced output notification for bulkInsert() operation in MySQL mode, improving user feedback during data insertion."
758a9ce26ffa27144ae47606142964848b79424a,click-contrib_click-repl,"Add options for `repl` to disable extra commands

For my use case I do not want to allow users to run external commands
(as I need to run my CLI's REPL as a priviliged user but only want to
allow access to commands within my Click CLI), and I do not want to
handle the existing internal commands (as I am handling displaying help
and quitting myself). This commit adds parameters to `repl` which will
support both of these situations, while still retaining the existing
default behaviour in both cases.", Added option to allow system and internal commands in interactive shell., Added option to allow system and internal commands in interactive shell., Added option to allow system and internal commands in interactive shell.
5ace5665c5cc1fa99d00ca807b08fd83414d63c2,Wirecloud_grunt-wirecloud,Complain about missing file to upload info, Added error check for missing file information before uploading in wirecloud task, Added error check for missing file information before uploading in wirecloud task, Added error check for missing file information before uploading in wirecloud task
2d2f8a8838112cf8a66201b05217fa3704c3a0e4,JNRowe_upoints,Use with statement to wrap file opens.," Updated setup.py to use 'with' statement in Python 2.x for better resource management, and refactored manifest file writing to improve readability and maintainability."," Updated setup.py to use 'with' statement in Python 2.x for better resource management, and refactored manifest file writing to improve readability and maintainability."," Updated setup.py to use 'with' statement in Python 2.x for better resource management, and refactored manifest file writing to improve readability and maintainability."
d22f2286892279a5f33192b1b4fcfaf1cfedd8ec,alphagov_govuk_publishing_components,"Remove Calculators from audit

Calculators has recently been retired.", Improved application auditing: Added analysis for 'content-data-admin' component within applications to compare with gem results, Improved application auditing: Added analysis for 'content-data-admin' component within applications to compare with gem results, Improved application auditing: Added analysis for 'content-data-admin' component within applications to compare with gem results
10bac096b92020cffc928a8fc1f18d91edb41fc3,stympy_faker,Changed quotes in app.rb, Updated `lib/faker/app.rb` to handle empty or non-empty 'app.version' values when generating app version., Updated `lib/faker/app.rb` to handle empty or non-empty 'app.version' values when generating app version., Updated `lib/faker/app.rb` to handle empty or non-empty 'app.version' values when generating app version.
dfce4c4511990ae63ed904c6223946d8cbe934c3,sonata-project_SonataAdminBundle,"Fix tests (#<I>)

Tests were failing because of <URL>", Implemented mock for Twig's 'supports' method in CRUDControllerTest to allow further testing flexibility., Implemented mock for Twig's 'supports' method in CRUDControllerTest to allow further testing flexibility., Implemented mock for Twig's 'supports' method in CRUDControllerTest to allow further testing flexibility.
cfd5ddd58abe5ff1528d12cee5e6dd70e0df0816,ninggf_wulaphp,fix issue:  no acl and roles specified RbacSupport will not work correctly, Updated RbacSupport to check for Passport instance and add role checking, Updated RbacSupport to check for Passport instance and add role checking, Updated RbacSupport to check for Passport instance and add role checking
4276e970ea7b151998b5d698d6f7e2a9adfc7bd4,spatie_laravel-server-monitor,Fixed --host filter on list hosts command," Added check for empty hosts list and informational message

This new commit message describes that the change adds a check to verify if there are no hosts configured and displays an informational message when this condition is met, similar to how the first example in the provided messages introduces a new functionality ('Added command to list hosts')."," Added check for empty hosts list and informational message
This new commit message describes that the change adds a check to verify if there are no hosts configured and displays an informational message when this condition is met, similar to how the first example in the provided messages introduces a new functionality ('Added command to list hosts').", Added check for empty hosts list and informational message
9d340567211548f818f7199cdefc7fda6b81219c,doctrine_DoctrineBundle,Make casting scalar to array consistent, Updated DoctrineBundle test for dynamic bundle registration in container configuration, Updated DoctrineBundle test for dynamic bundle registration in container configuration, Updated DoctrineBundle test for dynamic bundle registration in container configuration
d637083d5734756bd4b88158ca0b5005858e6ed8,mrclay_jsmin-php,builder : checks min/config.php for cache path and uploaderHoursBehind, Updated Minify configuration for better IIS compatibility and added a 'file' option for simpler usage in serving 'Page'., Updated Minify configuration for better IIS compatibility and added a 'file' option for simpler usage in serving 'Page'., Updated Minify configuration for better IIS compatibility and added a 'file' option for simpler usage in serving 'Page'.
38c927b5b8938c54c3ec03bfaa01cbc35e60369b,cloudfoundry_buildpackapplifecycle,"Minor improvements to clearCacheDir

[#<I>]"," Remove unused supply buildpack cache directories from `SupplyBuildpacks()` configuration
   (cleaning up before running any buildpack scripts without affecting primary cache)"," Remove unused supply buildpack cache directories from `SupplyBuildpacks()` configuration
   (cleaning up before running any buildpack scripts without affecting primary cache)", Remove unused supply buildpack cache directories from `SupplyBuildpacks()` configuration
e4a65a7f02b3ff7d44bd74317691b300967b5c22,image-js_image-js,allow more ids in connected component labeling algorithm, Implemented connected-component labeling algorithm using mask input and disjoint set for data type, Implemented connected-component labeling algorithm using mask input and disjoint set for data type, Implemented connected-component labeling algorithm using mask input and disjoint set for data type
1d0f47323f33aac04369e4410d7f815a8dfc448c,racker_perigee,Don't handle the MoreHeaders case.," Removed test for content type when using MoreHeaders, fixed issue with incorrect expected content type."," Removed test for content type when using MoreHeaders, fixed issue with incorrect expected content type."," Removed test for content type when using MoreHeaders, fixed issue with incorrect expected content type."
b636a2cf3887e86310c222544d0a22527d6bf75d,taskforcedev_user,Added email field to profile registration., Added email input to profile update in UserController, Added email input to profile update in UserController, Added email input to profile update in UserController
5288dd86d4866edaf46ab17ac6f731cdaf7bbce7,cartologic_cartoview,Merge branch 'hisham-dev' into origin/master, Improve Geoserver credentials reuse in `get_featureType` and `update_extent` functions for consistency, Improve Geoserver credentials reuse in `get_featureType` and `update_extent` functions for consistency, Improve Geoserver credentials reuse in `get_featureType` and `update_extent` functions for consistency
8b6d4fb44f489bfad0593627c8194da86f0ef2a2,saltant-org_saltant-py,Document that id in get can be int or str, Simplified primary identifier handling in `ModelManager` class for clarity and less confusion., Simplified primary identifier handling in `ModelManager` class for clarity and less confusion., Simplified primary identifier handling in `ModelManager` class for clarity and less confusion.
1f29b6f4ab4f65be4ba6b200b6a1f54556fd3c6d,doctrine_collections,Sorting should be checked against uppercase strings (bc compat), Converted ordering direction to uppercase for consistency in criteria definition, Converted ordering direction to uppercase for consistency in criteria definition, Converted ordering direction to uppercase for consistency in criteria definition
dbc4559c517a27e54e36dcc667eb3f0dff17c4df,Picolab_pico-engine,one way to view Error object, Implemented toKRLjson function for logging purposes using krl_stdlib.encode() instead of direct JSON serialization., Implemented toKRLjson function for logging purposes using krl_stdlib.encode() instead of direct JSON serialization., Implemented toKRLjson function for logging purposes using krl_stdlib.encode() instead of direct JSON serialization.
08c1481b88a00c2a2d8c3f6f0c44e3306dc7c576,symfony_symfony,"[HttpClient] Added missing sprintf

It was supposed to be there.", [HttpClient] Fixed error message in ResponseTrait for failed writes to response buffer, [HttpClient] Fixed error message in ResponseTrait for failed writes to response buffer, [HttpClient] Fixed error message in ResponseTrait for failed writes to response buffer
e4a4ed1344ab9a81207e71b0eadfc941d0ac6932,webfirmframework_wff,Removed unwanted system print from test case, Improved performance in WffBinaryMessageUtilTest by removing redundant print statements, Improved performance in WffBinaryMessageUtilTest by removing redundant print statements, Improved performance in WffBinaryMessageUtilTest by removing redundant print statements
1f9581721312a6396caca79f7899454526462e87,evanlucas_dam,"Color each line of code

less doesn’t seem to handle escaping of multiple lines", Improved code rendering for better readability by splitting it into separate lines, Improved code rendering for better readability by splitting it into separate lines, Improved code rendering for better readability by splitting it into separate lines
933f845b0acbfc066040490a0ed0522820a28146,mongodb_mongo-php-library,Skip causal consistency docs test if no secondary, Added ReadPreference and ConnectionTimeoutException to test case for handling secondary connection issues, Added ReadPreference and ConnectionTimeoutException to test case for handling secondary connection issues, Added ReadPreference and ConnectionTimeoutException to test case for handling secondary connection issues
7b6d2338ba3e5b7088eb82f2a7ac36b8b033cd0a,scala_scala,"SI-<I> Scaladoc: Fix ""Order by Alphabetical"" button

The selector has been wrong since 0c<I>e.", Sorted public members by alpha order for better scaladoc navigation, Sorted public members by alpha order for better scaladoc navigation, Sorted public members by alpha order for better scaladoc navigation
4c9eea75befce3b8a25ceee7c0233ec9c2c506da,bcbio_bcbio-nextgen,"Clean problem '#' character in sample description

This causes problems with VarDict analysis."," Clean up problem characters in sample lane or descriptions, handling additional special characters including '#'."," Clean up problem characters in sample lane or descriptions, handling additional special characters including '#'."," Clean up problem characters in sample lane or descriptions, handling additional special characters including '#'."
7f54360df37734241f8d555143ec1c17b9aad829,danilobellini_audiolazy,Tests for the Poly.roots property," Introduced `functools.reduce` for iterative operations in poly root tests, improving readability and reducing complexity."," Introduced `functools.reduce` for iterative operations in poly root tests, improving readability and reducing complexity."," Introduced `functools.reduce` for iterative operations in poly root tests, improving readability and reducing complexity."
af3df2145abc36ae48ba24f6469fbba7c358334e,smurn_jPLY,"ByteBuffer was initialized wrongly, causing it to read a full block of zeros before starting to read real data.
Affects #8.", Improved binary PLY file handling in BinaryPlyInputStream: added buffer clear and position reset for efficient data processing, Improved binary PLY file handling in BinaryPlyInputStream: added buffer clear and position reset for efficient data processing, Improved binary PLY file handling in BinaryPlyInputStream: added buffer clear and position reset for efficient data processing
0db785949be365626fd098a2530d26b7fe8e4655,tgriesser_knex,"add test that clearing offset (#<I>)

* add test that clearing offset



* fix typo", Update test case for QueryBuilder to handle null offset value and clear it before execution, Update test case for QueryBuilder to handle null offset value and clear it before execution, Update test case for QueryBuilder to handle null offset value and clear it before execution
54c171715814b410e81caefdb3020d91d8a89f61,garris_BackstopJS,Pass isReference flag to onReadyScript and onBeforeScript (#<I>), Added 'isReference' argument to onBeforeScript and onReadyScript callbacks for proper reference handling., Added 'isReference' argument to onBeforeScript and onReadyScript callbacks for proper reference handling., Added 'isReference' argument to onBeforeScript and onReadyScript callbacks for proper reference handling.
7e724b1052acf6b70b7a7e4c646b91f74c44b433,rhomobile_rhodes,Remove hardcoded value to pick scanner jar, Updated android_tools.rb to remove unnecessary path separator and add-on jar from classpath calculation., Updated android_tools.rb to remove unnecessary path separator and add-on jar from classpath calculation., Updated android_tools.rb to remove unnecessary path separator and add-on jar from classpath calculation.
c19f83e2b7d938d52e3b1c45d905e1bcc3a6f08a,deltachat_deltachat-node,fix: pass in empty string if image is falsey (which it is when null)," Updated setChatProfileImage function to accept null images as well, leveraging the fix made in dc.setChatProfileImage() for handling empty strings."," Updated setChatProfileImage function to accept null images as well, leveraging the fix made in dc.setChatProfileImage() for handling empty strings."," Updated setChatProfileImage function to accept null images as well, leveraging the fix made in dc.setChatProfileImage() for handling empty strings."
536d26b18662a338592d4fd339915676ed6d600c,FriendsOfCake_crud-view,Switch around how extending viewblocks works, Reversed viewblock and internal rendering order for improved consistency and readability in CrudView.php, Reversed viewblock and internal rendering order for improved consistency and readability in CrudView.php, Reversed viewblock and internal rendering order for improved consistency and readability in CrudView.php
892076be499af267b001ebbb013bd632e7dbbf6f,GPII_gpii-json-schema,GPII-<I>: Improved wiring of validator model to parser model.," Improved `validate.js` to utilize schemas defined within `gpii.schema.validator` for validation, enhancing consistency and code organization."," Improved `validate.js` to utilize schemas defined within `gpii.schema.validator` for validation, enhancing consistency and code organization."," Improved `validate.js` to utilize schemas defined within `gpii.schema.validator` for validation, enhancing consistency and code organization."
1bd94d76aea9ed9297102e3c9833d3accfcc2774,infinitered_reactotron,Allows tab 4 to scroll. (#<I>), Added overflow and padding to overlay container for better scrollability and layout adjustment, Added overflow and padding to overlay container for better scrollability and layout adjustment, Added overflow and padding to overlay container for better scrollability and layout adjustment
1cb38167ea85ae8f2179c38603c4a5f4f11d19f4,spyder-ide_spyder,* Remove redundant check on explorer visibility. This is already done in open_project., Hide explorer when creating a new project if there's an active project, Hide explorer when creating a new project if there's an active project, Hide explorer when creating a new project if there's an active project
cd80985b6fd8d11ad1877e3a2804feee2f40eab7,remarkjs_remark-lint,Remove support for ancient `loose` field, Improve `list-item-indent` rule: Use direct property access for spread attribute., Improve `list-item-indent` rule: Use direct property access for spread attribute., Improve `list-item-indent` rule: Use direct property access for spread attribute.
08836c5a8210aec9117fb0620197c87f958e6215,sat-utils_sat-search,do not throw error if key does not exist, Added download loop for multiple files within Scene class, Added download loop for multiple files within Scene class, Added download loop for multiple files within Scene class
e189f01082f2b51f9181c804e484f71409fe7a3e,EdwardRaff_JSAT,"added some quick comments on something I might forget 

git-svn-id: <URL>"," Implemented shallow copy construction for DenseMatrix, improving performance when working with large matrices."," Implemented shallow copy construction for DenseMatrix, improving performance when working with large matrices."," Implemented shallow copy construction for DenseMatrix, improving performance when working with large matrices."
92edb302fb6766f75a2bc1859e69735f8672fec7,UCL-INGI_INGInious,use strftime instead of replacing microseconds," Updated submission details display format for task pages, now using ISO-formatted date and time for clarity."," Updated submission details display format for task pages, now using ISO-formatted date and time for clarity."," Updated submission details display format for task pages, now using ISO-formatted date and time for clarity."
c75863b95490d9bce105b9cf7943ad835bb9584a,apache_incubator-gobblin,Changed gobblin-service JobScheduler to update scheduled specs before updating state for reliability, Updated GobblinServiceJobScheduler to toggle active state only when changing from inactive to active, Updated GobblinServiceJobScheduler to toggle active state only when changing from inactive to active, Updated GobblinServiceJobScheduler to toggle active state only when changing from inactive to active
0abaa16c70d962740276b05ce08ca03198290a28,decidim_decidim,Fix failing proposal tests (#<I>), Added filename context for progress bar visibility check in dynamic file attachment test, Added filename context for progress bar visibility check in dynamic file attachment test, Added filename context for progress bar visibility check in dynamic file attachment test
01fe1d92d3d9ad3c6b27fce5ffddae668a7ee452,sonata-project_sonata-doctrine-extensions,Apply fixes from StyleCI (#<I>), Updated JSON TypeTest for consistency in handling array arguments, Updated JSON TypeTest for consistency in handling array arguments, Updated JSON TypeTest for consistency in handling array arguments
fc763bce4aff5e2b3d75010b87b0cd931a194a37,lebinh_aq,Fix test for python3.x, Updated tests for handling raw bytes in AWS configuration files when setting region values, Updated tests for handling raw bytes in AWS configuration files when setting region values, Updated tests for handling raw bytes in AWS configuration files when setting region values
62a75816afb202cd3e4cb0b8f79383ca8293ec19,gwastro_pycbc-glue,print the offending xml file if an insert fails, Added error message detailing query and stream information to LIGOLwDBError exception for failed operations, Added error message detailing query and stream information to LIGOLwDBError exception for failed operations, Added error message detailing query and stream information to LIGOLwDBError exception for failed operations
35369cd19115f6a950b40ec60f8a66d820e4c5ef,minio_minio-java,"fix: do not initialize httpClient in MinioClient class level. (#<I>)

Previously httpClient was initialized at class level which causes

error with custom PKI implementation. In this situation any java

program using MinioClient (import io.minio.MinioClient;) would cause

failure.



This patch fixes the issue by initializing httpClient in constructor

level



Fixes #<I>", MinioClient now initializes OkHttpClient if null on construction, MinioClient now initializes OkHttpClient if null on construction, MinioClient now initializes OkHttpClient if null on construction
2ccdf0352313f7e06eee602e06d7dafb07581194,DLR-RM_RAFCON,"modify modifiction lock behavior of state machine

the blocking paramter of the aquire call is forwarded now", Added blocking option to acquisition of modification lock for improved thread synchronization in state machine., Added blocking option to acquisition of modification lock for improved thread synchronization in state machine., Added blocking option to acquisition of modification lock for improved thread synchronization in state machine.
4a25cc3f46989519b4cd37191703c5ad40f07f1c,threerings_narya,"If we fail spectacularly in checking localness, let's print out what class is having trouble, since the java libs don't actually do that.


git-svn-id: svn+ssh://src.earth.threerings.net/narya/trunk@<I> <I>f4-<I>e9-<I>-aa3c-eee0fc<I>fb1", Improved error handling when attempting to stream non-static inner classes or arrays., Improved error handling when attempting to stream non-static inner classes or arrays., Improved error handling when attempting to stream non-static inner classes or arrays.
a7e370bcbfd4234b53061a004c0b588e3ec76c06,explosion_spaCy,Don't override spaCy version, Write binary file during training with updated spacy version information, Write binary file during training with updated spacy version information, Write binary file during training with updated spacy version information
e82b374af41cb264ce31d0042f71d18ffec51c8e,awslabs_aws-sam-cli,chore: Version bump to <I> (#<I>), chore: Version bump to 0.46.0, chore: Version bump to 0.46.0, chore: Version bump to 0.46.0
7ec69c3c4646ef6013fefa9e71762979ba992704,concrete5_concrete5,"fix #<I>
- remove the test entry if there was created one
- simplify the parameter array creation", Fixed issue in MultilingualPageRelations insertion; now properly initializes the collection ID for newly created pages based on their locale and language., Fixed issue in MultilingualPageRelations insertion; now properly initializes the collection ID for newly created pages based on their locale and language., Fixed issue in MultilingualPageRelations insertion; now properly initializes the collection ID for newly created pages based on their locale and language.
762bdd8da47c26675ca4fc5e4cc37c1381e0342d,impress_impress.js,"Fix typo in impress.js

transtion -> transition", Fixes laggy transition issue when scrolling to slide in Chrome by deferring hash change until animation completes., Fixes laggy transition issue when scrolling to slide in Chrome by deferring hash change until animation completes., Fixes laggy transition issue when scrolling to slide in Chrome by deferring hash change until animation completes.
3496eabe6b7ae9f698ebc670a251de27f0b69642,intelsdi-x_snap-plugin-lib-go,"Fixes #<I>, set rpcType as gRPCStream for streaming plugin", Added gRPCStream option to StreamCollector initialization for improved RPC handling, Added gRPCStream option to StreamCollector initialization for improved RPC handling, Added gRPCStream option to StreamCollector initialization for improved RPC handling
f2a39eb5617d50e659f063f45584f87dace692d7,Alluxio_alluxio,"Address comment, use the local variable instead of the recalculation.", Deprecated property usage updated to match new configuration settings for space reservation., Deprecated property usage updated to match new configuration settings for space reservation., Deprecated property usage updated to match new configuration settings for space reservation.
07beafc679049108fed5f4261ce2cc1a67a72c8e,getgrav_grav,"If no parent is set and I call a siblings collection, return a new collection

Fix for a plugins combination issue detailed in
<URL>", Added a check for parent existence before returning empty collection in siblings case for descendants, Added a check for parent existence before returning empty collection in siblings case for descendants, Added a check for parent existence before returning empty collection in siblings case for descendants
b8b0e3428bd696e165a5ffa3bdcb3b79d29abda4,techdivision_import-category,* Refactoring for PAC-<I>, * Add check for redirect type in isUrlKeyOf method to ensure URL rewrite only applies to direct links, * Add check for redirect type in isUrlKeyOf method to ensure URL rewrite only applies to direct links, * Add check for redirect type in isUrlKeyOf method to ensure URL rewrite only applies to direct links
be043577c9529d487783349f9688372f37818004,mongodb_mongo-java-driver,"Remove connection string from log message

A connection string containing an unsupported option generates a log
message at warning level to the ""org.mongodb.driver.uri"" component. The
log message contains the full connection string.  As the connection
string may contain the credentials used to authenticate, it should not
be logged.  This commit removes the full connection string from the log
message, and instead just logs the name of the unsupported option.

JAVA-<I>", Added warning for unsupported options in connection strings to improve error reporting., Added warning for unsupported options in connection strings to improve error reporting., Added warning for unsupported options in connection strings to improve error reporting.
