hash,project,true_message,generated_message
7e4f71585fb16773acabf59ab21361b6d8d1f1a6,nion-software_nionswift,Change hardware source to be observable. Effectively was anyway.," Converted HardwareSource class to inherit from Observable, allowing for event-based data updates."
d21f8019c4455effe35de12441b6638eaaf51515,duncan3dc_sql-class,"Don't output bulk inserts
They normally output way too much data to be useful, so if output is on, we switch it off, and just output a mock query with the number of rows to insert"," Added optional output for bulkInsert method in MySQL mode, improves user feedback during bulk operations."
b8a06958dbc30bd08be46c039557bb1fc96dde75,oat-sa_extension-tao-testqti,bind event on component rather than button, Refactored menu click event to use $component instead of $menuButton for more flexible handling
2d2f8a8838112cf8a66201b05217fa3704c3a0e4,JNRowe_upoints,Use with statement to wrap file opens.," Added 'with_statement' to setup.py for better compatibility, updated manifest writing function to use context manager."
758a9ce26ffa27144ae47606142964848b79424a,click-contrib_click-repl,"Add options for `repl` to disable extra commands

For my use case I do not want to allow users to run external commands
(as I need to run my CLI's REPL as a priviliged user but only want to
allow access to commands within my Click CLI), and I do not want to
handle the existing internal commands (as I am handling displaying help
and quitting myself). This commit adds parameters to `repl` which will
support both of these situations, while still retaining the existing
default behaviour in both cases.", Added optional parameters 'allow_system_commands' and 'allow_internal_commands' to the ClickRepl function for controlling command execution.
5ace5665c5cc1fa99d00ca807b08fd83414d63c2,Wirecloud_grunt-wirecloud,Complain about missing file to upload info," Added check for valid file information before uploading in wirecloud task, to prevent errors."
4276e970ea7b151998b5d698d6f7e2a9adfc7bd4,spatie_laravel-server-monitor,Fixed --host filter on list hosts command," Added check for empty host configuration and notification in ListHosts command, with an option to filter hosts by name."
10bac096b92020cffc928a8fc1f18d91edb41fc3,stympy_faker,Changed quotes in app.rb, Updated Faker::App version handling to correctly determine if version string is empty or not
d22f2286892279a5f33192b1b4fcfaf1cfedd8ec,alphagov_govuk_publishing_components,"Remove Calculators from audit

Calculators has recently been retired."," Added 'calculators' to the list of applications in the audit controller, as it was accidentally omitted during a previous update."
dfce4c4511990ae63ed904c6223946d8cbe934c3,sonata-project_SonataAdminBundle,"Fix tests (#<I>)

Tests were failing because of <URL>", Added mock support for Templating in CRUDControllerTest to enable testing with mocked environment
cfd5ddd58abe5ff1528d12cee5e6dd70e0df0816,ninggf_wulaphp,fix issue:  no acl and roles specified RbacSupport will not work correctly," Added check for passport instance in RbacSupport beforeRunInRbacSupport method, also introduced a condition to validate roles when ACL permissions are granted and denied."
9d340567211548f818f7199cdefc7fda6b81219c,doctrine_DoctrineBundle,Make casting scalar to array consistent, Refactored AbstractDoctrineExtensionTest to ensure consistent bundle handling type.
38c927b5b8938c54c3ec03bfaa01cbc35e60369b,cloudfoundry_buildpackapplifecycle,"Minor improvements to clearCacheDir

[#<I>]"," Moved responsibility of fetching supply buildpacks from configuration to Runner instance, improving code readability."
d637083d5734756bd4b88158ca0b5005858e6ed8,mrclay_jsmin-php,builder : checks min/config.php for cache path and uploaderHoursBehind," Added configuration and cache settings for Windows IIS support in index.php, optimizing Minify for different servers."
5288dd86d4866edaf46ab17ac6f731cdaf7bbce7,cartologic_cartoview,Merge branch 'hisham-dev' into origin/master, Moved Geoserver credentials fetching from function call to function definition for better readability and consistency.
1d0f47323f33aac04369e4410d7f815a8dfc448c,racker_perigee,Don't handle the MoreHeaders case., Removed test case for handling Content-Type when provided in MoreHeaders; maintaining existing behavior for leaving content-type blank on explicit request.
dbc4559c517a27e54e36dcc667eb3f0dff17c4df,Picolab_pico-engine,one way to view Error object," Refactored startCore.js to handle JSON objects in log messages, avoiding unnecessary encoding of JSObjects as [JSObject]."
b636a2cf3887e86310c222544d0a22527d6bf75d,taskforcedev_user,Added email field to profile registration., Updated UserController profile function to allow email update in user's profile.
e4a65a7f02b3ff7d44bd74317691b300967b5c22,image-js_image-js,allow more ids in connected component labeling algorithm," Refactored `fromKaskConnectedComponentLabelingAlgorithm` to `fromMaskConnectedComponentLabelingAlgorithm`, updated data type from Int16Array to Uint32Array for better handling of label values."
8b6d4fb44f489bfad0593627c8194da86f0ef2a2,saltant-org_saltant-py,Document that id in get can be int or str, Changed resource model manager to accept integer or string as task id for retrieval
1f29b6f4ab4f65be4ba6b200b6a1f54556fd3c6d,doctrine_collections,Sorting should be checked against uppercase strings (bc compat), Converted ordering comparison to uppercase for case insensitivity in sorting functions.
e4a4ed1344ab9a81207e71b0eadfc941d0ac6932,webfirmframework_wff,Removed unwanted system print from test case," Removed logging statements, improving test performance for WffBinaryMessageUtilTest."
08c1481b88a00c2a2d8c3f6f0c44e3306dc7c576,symfony_symfony,"[HttpClient] Added missing sprintf

It was supposed to be there."," Updated ResponseTrait in HttpClientResponse to use sprintf for TransportException message argument, improving readability of error messages."
933f845b0acbfc066040490a0ed0522820a28146,mongodb_mongo-php-library,Skip causal consistency docs test if no secondary," Added read preference handling to secondary servers in DocumentationExamplesTest, to ensure testing with secondary servers when available."
1f9581721312a6396caca79f7899454526462e87,evanlucas_dam,"Color each line of code

less doesn’t seem to handle escaping of multiple lines"," Refactored code rendering for better readability, splitting code into multiple lines before chalk wrapping."
7f54360df37734241f8d555143ec1c17b9aad829,danilobellini_audiolazy,Tests for the Poly.roots property," Added support for polynomial root calculations with multiple roots and improved error handling, and added tests for constants without roots."
7b6d2338ba3e5b7088eb82f2a7ac36b8b033cd0a,scala_scala,"SI-<I> Scaladoc: Fix ""Order by Alphabetical"" button

The selector has been wrong since 0c<I>e."," Renamed ""visbl"" to ""order"" for better semantic consistency in template JS file."
af3df2145abc36ae48ba24f6469fbba7c358334e,smurn_jPLY,"ByteBuffer was initialized wrongly, causing it to read a full block of zeros before starting to read real data.
Affects #8."," ""Reset BinaryPlyInputStream buffer position to capacity after clearing"""
4c9eea75befce3b8a25ceee7c0233ec9c2c506da,bcbio_bcbio-nextgen,"Clean problem '#' character in sample description

This causes problems with VarDict analysis.", Replaced problem characters in sample lane or descriptions with underscores to prevent issues with special characters.
0db785949be365626fd098a2530d26b7fe8e4655,tgriesser_knex,"add test that clearing offset (#<I>)

* add test that clearing offset



* fix typo"," Added test case for handling null offset in QueryBuilder, to ensure proper behavior across all supported databases."
c19f83e2b7d938d52e3b1c45d905e1bcc3a6f08a,deltachat_deltachat-node,fix: pass in empty string if image is falsey (which it is when null)," Updated DeltaChat's setChatProfileImage method to include a default value for the image parameter, ensuring it doesn't throw an error when left undefined."
7e724b1052acf6b70b7a7e4c646b91f74c44b433,rhomobile_rhodes,Remove hardcoded value to pick scanner jar," Removed hardcoded Symbol scanner JAR path from Android build script, allowing for dynamic specification of add-on classpath."
54c171715814b410e81caefdb3020d91d8a89f61,garris_BackstopJS,Pass isReference flag to onReadyScript and onBeforeScript (#<I>), Added `isReference` parameter to onBeforeScript and onReadyScript functions to allow passing additional data in capture/genBitmaps.js. This allows for better control and flexibility when running scripts within scenarios.
892076be499af267b001ebbb013bd632e7dbbf6f,GPII_gpii-json-schema,GPII-<I>: Improved wiring of validator model to parser model., Updated 'gpii.schema.validator' model schemas reference to avoid circular dependency.
536d26b18662a338592d4fd339915676ed6d600c,FriendsOfCake_crud-view,Switch around how extending viewblocks works, Swapped order of view block and internal content in CrudView for logical consistency
1bd94d76aea9ed9297102e3c9833d3accfcc2774,infinitered_reactotron,Allows tab 4 to scroll. (#<I>)," Removed overlay container, added content with scrollable overflow and updated backups styles."
1cb38167ea85ae8f2179c38603c4a5f4f11d19f4,spyder-ide_spyder,* Remove redundant check on explorer visibility. This is already done in open_project., Removed check for active project before creating a new one to allow for multiple projects simultaneously
cd80985b6fd8d11ad1877e3a2804feee2f40eab7,remarkjs_remark-lint,Remove support for ancient `loose` field, Simplified `remark-lint-list-item-indent` rule by removing TypeScript expect-error and using `node.spread` directly.
e189f01082f2b51f9181c804e484f71409fe7a3e,EdwardRaff_JSAT,"added some quick comments on something I might forget 

git-svn-id: <URL>", Optimized dot product calculation in DenseMatrix for potential savings with sparse matrices.
08836c5a8210aec9117fb0620197c87f958e6215,sat-utils_sat-search,do not throw error if key does not exist," Added loop for multiple key downloads in Scene class, now handles multiple files if keys are present in the links dictionary."
26f96611517c7578f2fd980c1e4717940f73988b,silverorange_swat,"Increase the default z-index of managed elements.

The z-index of some relative positioned elements in IE and Firefox is set to
0 by default. Managed z-indexes should always be above above these.

Setting the default index to <I> also allows style-sheets to use the z-index
values 0-9 without worrying about messing up widgets that use z-index.


svn commit r<I>", Updated SwatZIndexManager start value to 10 for better z-index management
92edb302fb6766f75a2bc1859e69735f8672fec7,UCL-INGI_INGInious,use strftime instead of replacing microseconds, Formatted date display for task submission titles in error messages
fc763bce4aff5e2b3d75010b87b0cd931a194a37,lebinh_aq,Fix test for python3.x, Switched command line argument test cases from string to binary for AWS profile configuration testing
c75863b95490d9bce105b9cf7943ad835bb9584a,apache_incubator-gobblin,Changed gobblin-service JobScheduler to update scheduled specs before updating state for reliability, Toggled active state of GobblinServiceJobScheduler based on provided boolean value to properly manage job scheduling flow.
0abaa16c70d962740276b05ce08ca03198290a28,decidim_decidim,Fix failing proposal tests (#<I>)," Added option to specify filename in dynamic file attachment for RSpec tests, allowing better control over file uploads during testing."
62a75816afb202cd3e4cb0b8f79383ca8293ec19,gwastro_pycbc-glue,print the offending xml file if an insert fails, Add error message to LIGOMetadata class for failed DB queries with associated SQL query and table schema details
01fe1d92d3d9ad3c6b27fce5ffddae668a7ee452,sonata-project_sonata-doctrine-extensions,Apply fixes from StyleCI (#<I>), Updated the JsonTypeTest to use array notation consistently in test cases for better readability and maintainability.
35369cd19115f6a950b40ec60f8a66d820e4c5ef,minio_minio-java,"fix: do not initialize httpClient in MinioClient class level. (#<I>)

Previously httpClient was initialized at class level which causes

error with custom PKI implementation. In this situation any java

program using MinioClient (import io.minio.MinioClient;) would cause

failure.



This patch fixes the issue by initializing httpClient in constructor

level



Fixes #<I>", Updated MinioClient default OkHttpClient configuration with new builder pattern for connection and write timeouts.
2ccdf0352313f7e06eee602e06d7dafb07581194,DLR-RM_RAFCON,"modify modifiction lock behavior of state machine

the blocking paramter of the aquire call is forwarded now", Added optional blocking parameter to acquire_modification_lock method for better control over lock acquisition behavior.
a7e370bcbfd4234b53061a004c0b588e3ec76c06,explosion_spaCy,Don't override spaCy version, Updated model metadata in 'train.py': Removed Spacy version from the metadata.
4a25cc3f46989519b4cd37191703c5ad40f07f1c,threerings_narya,"If we fail spectacularly in checking localness, let's print out what class is having trouble, since the java libs don't actually do that.


git-svn-id: svn+ssh://src.earth.threerings.net/narya/trunk@<I> <I>f4-<I>e9-<I>-aa3c-eee0fc<I>fb1"," Added error handling for streaming non-static inner classes and array types, with improved error messages when internal errors occur during localness checks."
7ec69c3c4646ef6013fefa9e71762979ba992704,concrete5_concrete5,"fix #<I>
- remove the test entry if there was created one
- simplify the parameter array creation"," ""Refactored Section class to handle new pages differently in multilingual contexts"""
e82b374af41cb264ce31d0042f71d18ffec51c8e,awslabs_aws-sam-cli,chore: Version bump to <I> (#<I>), Updated SAM CLI version to 0.46.0 for bug fixes and improvements.
3496eabe6b7ae9f698ebc670a251de27f0b69642,intelsdi-x_snap-plugin-lib-go,"Fixes #<I>, set rpcType as gRPCStream for streaming plugin", Added gRPC stream option to StreamCollector initializer for improved plugin compatibility.
f2a39eb5617d50e659f063f45584f87dace692d7,Alluxio_alluxio,"Address comment, use the local variable instead of the recalculation."," Deprecated reserved.ratio property, replaced with high water mark for space reservation calculation"
07beafc679049108fed5f4261ce2cc1a67a72c8e,getgrav_grav,"If no parent is set and I call a siblings collection, return a new collection

Fix for a plugins combination issue detailed in
<URL>"," Added check for empty parent page before retrieving siblings in Page class, to prevent undefined index error."
762bdd8da47c26675ca4fc5e4cc37c1381e0342d,impress_impress.js,"Fix typo in impress.js

transtion -> transition"," Fixed potential lag during scrolling to elements in Impress.js, due to unnecessary transition behavior. Resolves Chrome issue #62820."
b8b0e3428bd696e165a5ffa3bdcb3b79d29abda4,techdivision_import-category,* Refactoring for PAC-<I>," Added check for redirect type in isUrlKeyOf method to ensure it matches zero, preventing incorrect redirection."
be043577c9529d487783349f9688372f37818004,mongodb_mongo-java-driver,"Remove connection string from log message

A connection string containing an unsupported option generates a log
message at warning level to the ""org.mongodb.driver.uri"" component. The
log message contains the full connection string.  As the connection
string may contain the credentials used to authenticate, it should not
be logged.  This commit removes the full connection string from the log
message, and instead just logs the name of the unsupported option.

JAVA-<I>", Removed explicit connection string reference in unsupported option warning message for improved consistency.
9aa919823507ba11025a87cd61624bb109a7bbcb,lolautruche_EzCoreExtraBundle,Fix wrong use of TwigEnvironmentTrait, Moved `Lolautruche\EzCoreExtraBundle\Templating\Twig\TwigEnvironmentTrait` to the Twig namespace for consistency across Twig based classes.
1ca51eb57a933964e9640c02697a78c068a8c462,silverstripe_silverstripe-framework,FIX Ensure that mysite test boostrap configuration is loaded after core and before the database connection," Removed bootstrap for 'mysite' project, added mock configuration instead. Updated bootstrap/phpunit.php to load the new configuration."
9827925015a42a47d12db82595fd88de6a259d62,apache_incubator-superset,Return <I> on no authorization, Added error response with HTTP status 401 and link to table access denial messages for unauthorized tables in Superset view.
86393b96f2bb24d6de1b9136af4155218cf38f46,jgoizueta_flt,Fix Float#split (was wrong for negative numbers becouse the coefficient was signed.), Corrected sign inconsistency in abs value of floating point coefficients
dc10c8b4a1f7ef3a166352c911c40a3f1027056a,excon_excon,"[fix] Read server response during EPIPE

When a `request_block` is used to send data, an error on the server side
only gets reported as a `EPIPE`. excon doesn't read anything sent back
from the server, which makes it hard to debug what went wrong.

We now read the server response, if any, and show it in the exception.

Closes #<I>"," Handles EPIPE errors in connection by reading remaining data from the pipe, aids in debugging."
83f572f0f56c701c5f3a22f32f70432c8b6ba72f,github_licensed,"additional bundler ENV to clear

in CI, BUNDLE_GEMFILE is pre-existing and is part of the original call environment.

as a result it's not cleaned up by `with_original_environment`"," Added constant BUNDLER_ENV_KEYS to prevent Bundler modifications during license checking, and removed these keys from the environment before resetting Bundler configuration."
545ee15a4df683f3e8d9965828f5afb745d31eb1,algolia_algoliasearch-client-go,feat(QueryRes): add support for extensions field (#<I>), Added support for Algolia extensions in QueryRes struct for improved search functionality.
0fce2e45981a99299e57cdc9db042d09b2b52801,gwpy_gwpy,examples: fixed spectrogram in open-data-spectrogram.py, Updated LIGO-Hanford strain data spectrogram visualization with log scale for y-axis and improved colorbar labeling.
641358629915af11b9b69a28e02d8c5d279bcd7e,laravel_nexmo-notification-channel,Updated to include client_ref in the message, Added client_ref attribute to outgoing SMS messages in NexmoSmsChannel class for better tracking of sent messages.
9a944e9b13b53eb9de4c2c22656520b7a6e4b22c,brython-dev_brython,Remomve strange characters in test_isinstance.py, Implement tests for issubclass() edge cases and abstract classes
6d09c48c1faa4e08d53c57124c19fa3c8ec9e8bd,sosreport_sos,"[utilities] Ensure slots in deque is always integer

With python3, the 'slots' calculation returns a decimal number which
deque() will not accept, thus throwing an exception. Always make sure
slots is an integer value."," Refactored AsyncReader to use integer division instead of float division for chunk slot calculation, improving consistency and preventing potential rounding errors."
112d7bf7c4c0eed44966cabe555cffdfe15041d5,PlaidWeb_Publ,"Turn off automatic case-desensitization, which doesn't do what we want", Removed interpolation and added optionxform to ConfigParser in user.py for disabling case-lowering of usernames during config reading. This change ensures that username casing matches the auth backend's behavior.
1eeb94950d8aa3d995fc1930c8517a81670f1ded,Shopify_slate,Reword test for 'themelint.bin' config, Added configuration for themelint bin execution in 'themelint.bin'
04186339195f4b60ac5313e5dd3b2faa56ce7651,rails_rails,Fix test with add_foreign_key DSL in 9d<I>ef9, Updated foreign key on authors table to reference author_addresses table for consistency.
e57f95a181655918a5b7ca5424fc07fcc17a5786,structr_structr,"Bugfix: Fixes bug where the ""Discard changes"" button was not shown for individual global schema methods after clicking the ""remove"" button"," Renamed `rowChanged` method on fake table to `fakeTableChanged` for consistency with other event handling, and updated its argument for discarding changes."
6579c2814314d30d86a587bf05425db16efc4dcf,ProseMirror_prosemirror-model,Don't strip leading space after a nested node," Removed conditional check for leading whitespace on elements, only strip if it's the last text node in the open tree."
5ae77a0170de64170399e055ce91dbe4f2d583e8,mk-fg_feedjack,views.blogroll: fix one more place where HttpResponse(mimetype=...) was used (Django-<I> compat thing), Bumped Feedjack version to 15.02.29 and updated views.py XML response type.
59ec8f3844da5827c62db5d911f506bf646b96a5,itchio_httpkit,Retry on read tcp, Added error handling for more types of connection errors in httpfile's shouldRetry function to improve resilience against network issues.
a80f592298c67ff9cfd93daa2b1b1848079eb624,moodle_moodle,MDL-<I> dndupload: check course dndupload cap on course level," Updated upload repository instantiation to include context for correct repository instance in dnduploadlib.php, ensuring proper handling of file uploads within specific course contexts."
134a2e0ae7c11adecd521c00b85b488372c8d1aa,rubygems_rubygems.org,"change ""indexed"" to ""yanked"" in ES"," Changed RubygemSearchable concern to exclude indexed versions when determining yanked status, and updated corresponding index field in Elasticsearch mapping."
1e39453a0d60fdb17835c17d67b3cc80a672eb96,gforcada_haproxy_log_analysis,"strip() returns a new string

It must be assigned to a variable."," Removed unnecessary string trimming from log description function, improving code readability."
a10bffc9cbd5dc39d8b1aaaf186b0b5e248de71a,gem_oq-engine,"Updated changelog


Former-commit-id: <I>ee<I>d<I>c<I>b0cc<I>da<I>a<I>acb9", Removed deprecated 'decode' function from openquake.baselib.python3compat and added zip function instead in readinput.py
d9c6f3f630bcc20dbbb8a7d7d6f4c5c7c88feff9,DLR-RM_RAFCON,"fix: set versin for pytest-faulthandler

otherwise this will lead to a version conflict as the latest pytest-faulthandler requires pytest>=5", Updated test requirements to exclude pytest-faulthandler version greater than 1.6.0 for stability improvements
c3d898dac4434ed98b46889ebd5015f1132c2536,dhershman1_phone-fns,fix isValid with new breakdown params," Simplified phone breakdown process, removing unnecessary empty argument for the ""breakdown"" function."
8aff4f10e053310c357f355832f2e312988c9f00,digitalocean_droplet_kit,add query keys to clusters all call, Added query parameters support to list clusters in the Kubernetes resource
07c1e915cf79bcc7bd4a6eb14cdf05c5f8bd5cdf,biolink_ontobio,"do not map subject category when querying go, not populated in reliable way"," Updated goassoc_fieldmap in golr_query.py to remove M.SUBJECT_CATEGORY assignment for type, allowing dynamic definition or removal of this field mapping in future."
bee9bef7713b85799cdd3e9b23dccae33154f3b3,Assasz_yggdrasil,[RestRouter] Fix route patterns, Updated route patterns to accept hyphen characters in controller names for better compatibility
c16d756efd3299ed2d032a24e73d6dbd37bc6738,vmware_rvc,rename folders under Datacenter," Renamed instance variables for clarity in Datacenter class, added compatibility method for previous RVC versions."
6972ab873e32022c010cc9e774469c541441a6b8,hardbyte_python-can,Enable gs_usb in interface list, Added 'GS USB' CAN interface with 'GsUsbBus' backend.
3b8487521676f6065f6734c080ba9457a43c9090,moby_moby,builder-next: use constants for http methods, Restricted REQBODYHANDLER to handle only GET requests for prefix URLs.
b33a620ef36aaefbaa77def6e8bdf7e086c13de0,chriskite_anemone,refactor another local variable into a method," Implemented depth checking for link visits, adhering to provided depth limit option."
8f821313045ffb54660eeb1a64bf54be337ca42a,puppetlabs_puppet,"Fix order-dependent test failure in network/authorization_spec

This test was assuming the singleton auth config hadn't been created. A
previous test does create one, so this test was failing. Now, we make
sure the singleton instance is nil before testing.", Removed previously loaded authconfig and reverted default ACL entries initialization in authorization tests
cefea411dcfaa4bd42433922e78f482a6bd295cf,simplelogica_nocms-blocks,Task #9: Setting the database serializer for the dummy app using an ENV variable," Added configuration for database serializer in blocks initializer, allowing customization of field serialization method."
b29c66001bce030a82fdef59a03590e4f2edc526,ubyssey_dispatch,"REST framework permission, rendering, pagination settings"," Removed admin-only access and added unicode JSON support for REST API responses, with default pagination set to 10 records."
7c9e9a269d4923f086c00c8a22fb7390230b4d07,cloudfoundry-attic_garden-linux,"Fix compilation error.

Also increase a test timeout.

[#<I>]","1. Increased process reaper timeout to 20 seconds in process_reaper_test.go for improved test robustness.
   2. Decreased number of subsystems accepted by CgroupsManager.Add method in cgroups_manager.go."
a949f1672dcc171c4e4e0d84369b3b8b6ee49543,apache_incubator-druid,1) Fix bug with Master stopping trying to be Master after he losses it once," Added IOException import and closed leaderLatch in DruidMaster on shutdown, to avoid potential issues with resource leakage during normal shutdown or unexpected errors."
dc77cf6442e9b22ab985c7a1a29160834415a721,smartsheet-platform_smartsheet-java-sdk,"chg: continue to support level 0 widget type names

SHORTCUTLIST --> SHORTCUT
SHORTCUTICON --> SHORTCUT
SHEETSUMMARY --> METRIC"," Added three new level 0 widget types (SHORTCUT, SHORTCUTLIST, SHORTCUTICON, METRIC) to support for now, replacing WEBCONTENT, SHEETSUMMARY. Enhancement for better integration with Smartsheet API models."
532650b58b8348a0a0d648f2c294cc13adc75fc6,lxc_lxd,lxc/storage: workaround for subcommand errors, Added workaround for subcommand usage errors to prevent ambiguity in LXC storage command
7f6deed9d9b533559f8d20002a5e34212ba63578,fchauvel_flap,deps: Remove obsolete dev-dependency to 'mkdocs'," Updated test dependencies: updated green, coverage, mock, removed mkdocs, maintained current version of other packages."
a70bec60456ca39a9db7bed0d77c092a9e637e2f,jamesiarmes_php-ews,"perf: no longer reinitialize curl handle

The curl handle is now always reused by the Exchange soap client. This patch makes multi exchange calls much faster (5 to <I> times faster).", Refactored SoapClient.php: Introduced check for changing location before reinitializing cURL handle to avoid unnecessary initialization.
931ec677c43c0da2c3faf4bbe1fbf7ae3e0adfe5,blevesearch_bleve,completely avoid dynamic dispatch if only sorting on score, Improved HeapCollector: now re-sorts data on subsequent calls when necessary or when the cache is not up-to-date to maintain correct hit sorting.
52664a9a7b9fcafff76b285aaaa0c156eaf72441,laravel_framework,Simplify email check (#<I>), Simplified email retrieval for authenticated users in ExceptionHandler by using null coalescing operator instead of ternary expression.
c03a253646d8a808a3d4615ba3a8470260c044c7,WellCommerce_WishlistBundle,Merged DoctrineBundle into CoreBundle," Switched Doctrine Repository interface to Core Bundle for ReindexCommand.php, updating namespace for consistency."
